,GISMATCH,STATEFIP,State,MIGPLAC,MIGPUMA,PWSTATE,PWPUMA,center,TYPE,CBSA_NAME
655,3401500,34,New Jersey,034,01500,34,01500,POINT (1778617.0891345055 578382.8075245207),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
656,3401600,34,New Jersey,034,01600,34,01600,POINT (1759831.2056762332 605946.8596497313),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
657,3401700,34,New Jersey,034,01700,34,01700,POINT (1741835.5890333008 569466.2108710964),Metro,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
658,3401800,34,New Jersey,034,01800,34,01800,POINT (1802806.5030824041 560761.005056523),T34,"New York-Newark-Jersey City, NY-NJ-PA Metro Area"
659,3402000,34,New Jersey,034,02000,34,02000,POINT (1793096.2841899523 468582.9814488947),T34,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
660,3402100,34,New Jersey,034,02100,34,02100,POINT (1770826.117216706 455001.32005730324),T34,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
661,3402200,34,New Jersey,034,02200,34,02200,POINT (1758314.718307963 441903.57993227063),T34,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
662,3402300,34,New Jersey,034,02300,34,02300,POINT (1780218.8920203024 512267.3999739006),Metro,"Trenton, NJ Metro Area"
663,3402490,34,New Jersey,034,02490,34,02490,POINT (1758642.8572523624 412895.7053985367),Metro,"Vineland-Bridgeton, NJ Metro Area"
664,3600100,36,New York,036,00100,36,00100,POINT (1647740.9338323842 964445.4196710597),Nonmetro,"Ogdensburg-Massena, NY Micro Area"
665,3600200,36,New York,036,00200,36,00200,POINT (1729390.2424103864 952419.989721309),Nonmetro,
666,3600300,36,New York,036,00300,36,00300,POINT (1784324.4047960958 876196.8126998303),Metro,"Glens Falls, NY Metro Area"
667,3600400,36,New York,036,00400,36,00400,POINT (1684314.5618260328 809682.9179058361),Metro,"Utica-Rome, NY Metro Area"
668,3600500,36,New York,036,00500,36,00500,POINT (1613613.8973082143 890940.1242235844),Nonmetro,
669,3600600,36,New York,036,00600,36,00600,POINT (1588766.256179644 830093.4161876375),Metro,"Syracuse, NY Metro Area"
670,3600700,36,New York,036,00700,36,00700,POINT (1581662.5171779739 775764.9683787546),Metro,"Syracuse, NY Metro Area"
671,3600800,36,New York,036,00800,36,00800,POINT (1534315.0533971775 771222.0130155312),Nonmetro,"Seneca Falls, NY Micro Area"
672,3600900,36,New York,036,00900,36,00900,POINT (1471987.0292557313 774454.1313318434),Metro,"Rochester, NY Metro Area"
673,3601000,36,New York,036,01000,36,01000,POINT (1431829.1567876588 762834.3997155578),Nonmetro,"Batavia, NY Micro Area"
674,3601100,36,New York,036,01100,36,01100,POINT (1387776.6980650814 764767.8107769026),Metro,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
675,3601200,36,New York,036,01200,36,01200,POINT (1397462.8725048753 716619.4294117098),Metro,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
676,3601300,36,New York,036,01300,36,01300,POINT (1457522.2401614352 722659.8795499058),Nonmetro,
677,3601400,36,New York,036,01400,36,01400,POINT (1517194.391131409 740922.4098268736),Metro,"Rochester, NY Metro Area"
678,3601500,36,New York,036,01500,36,01500,POINT (1627598.985845769 764121.8447291498),Metro,"Syracuse, NY Metro Area"
