PUMA,GISMATCH,GISJOIN,GEOID,STATEFIP,State,Name,JAN_AVG_TEMP_C,JULY_AVG_TEMP_C,AVG_TOT_PPT_MM,AVG_TOT_POP_M,AVG_TOT_PPT_M
0608105,608105,G06008105,0608105,06,California,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA",10.326430100661058,19.011000413161057,523.7500751201923,0.5237500751201922,0.5237500751201922
0608103,608103,G06008103,0608103,06,California,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA",10.490350723266602,17.396787643432617,605.5493774414062,0.6055493774414062,0.6055493774414062
0608102,608102,G06008102,0608102,06,California,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA",10.68977779812283,16.488121880425346,610.1623263888889,0.6101623263888889,0.6101623263888889
0610703,610703,G06010703,0610703,06,California,"Tulare County (Outside Visalia, Tulare & Porterville Cities) PUMA",4.331953839557927,21.760395494579946,593.5425135501355,0.5935425135501354,0.5935425135501354
0610702,610702,G06010702,0610702,06,California,Tulare County (West Central)--Tulare & Porterville Cities PUMA,8.455542130903764,27.230959805575285,253.28551136363637,0.25328551136363636,0.25328551136363636
0610701,610701,G06010701,0610701,06,California,Tulare County (Northwest)--Visalia City PUMA,8.285400390625,26.802005543428308,266.9234834558824,0.26692348345588235,0.26692348345588235
0603900,603900,G06003900,0603900,06,California,Madera County--Madera City PUMA,5.627158552789322,23.24408567774936,672.6328324808184,0.6726328324808184,0.6726328324808184
0608506,608506,G06008506,0608506,06,California,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities PUMA",9.14648009183114,22.14446843019006,569.4298245614035,0.5694298245614035,0.5694298245614035
0608507,608507,G06008507,0608507,06,California,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town PUMA",9.545258620689655,20.731340079471984,871.1629175646551,0.8711629175646551,0.8711629175646551
0608512,608512,G06008512,0608512,06,California,Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley) PUMA,9.761793009440105,20.96978759765625,633.0552734375,0.6330552734375,0.6330552734375
0608505,608505,G06008505,0608505,06,California,Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock PUMA,9.86822967529297,21.078921508789062,441.130078125,0.441130078125,0.441130078125
0608513,608513,G06008513,0608513,06,California,Santa Clara County (Central)--San Jose City (Southeast/Evergreen) PUMA,9.80935033162435,21.148366292317707,474.9481608072917,0.4749481608072917,0.4749481608072917
0608508,608508,G06008508,0608508,06,California,Santa Clara County (Central)--San Jose (West Central) & Campbell Cities PUMA,10.074762344360352,20.612350463867188,466.0535888671875,0.4660535888671875,0.4660535888671875
0608514,608514,G06008514,0608514,06,California,Santa Clara County (Central)--San Jose City (East Central/East Valley) PUMA,10.139798845563616,20.726898193359375,388.4964076450893,0.3884964076450893,0.3884964076450893
0608511,608511,G06008511,0608511,06,California,Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA,10.076771327427455,20.724870954241073,436.77734375,0.43677734375,0.43677734375
0608503,608503,G06008503,0608503,06,California,Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities PUMA,10.217588636610243,20.34415520562066,371.72230360243054,0.3717223036024305,0.3717223036024305
